1,S,1
0.5,S,1
0.5,S,1
0.5,S,1
0.5,S,1
1.5,S,3
0.5,S,3
0.5,S,3
0.5,S,3
0.5,S,3
5,M,2
1,M,0
1,M,4
4,S,7
0.5,S,7
0.5,S,7
3,S,5
0.5,S,5
0.5,S,5
3,L,2
7,S,1
0.4,S,1
0.4,S,1
0.4,S,1
0.4,S,1
3,S,3
0.4,S,3
0.4,S,3
0.4,S,3
0.4,S,3
5,M,2
1,M,0
1,M,4
5,S,7
0.4,S,7
0.4,S,7
3,S,5
0.4,S,5
0.4,S,5
3,L,2
5,S,1
0.4,S,1
0.4,S,1
0.4,S,1
0.4,S,1
3,S,3
0.4,S,3
0.4,S,3
0.4,S,3
0.4,S,3
5,M,2
1,M,0
1,M,4
5,S,7
0.4,S,7
0.4,S,7
2,S,5
0.4,S,5
0.4,S,5
3,L,2
7,S,1
0.4,S,1
0.4,S,1
0.4,S,1
0.4,S,1
3,S,3
0.4,S,3
0.4,S,3
0.4,S,3
0.4,S,3
5,M,2
1,M,0
1,M,4
6,S,7
0.4,S,7
0.4,S,7
3,S,5
0.4,S,5
0.4,S,5
5,L,2
20,Boss,0
